"","open","categories","count","long","lat","state","stars","noise","attire"
"1","TRUE","c(""Chicken Wings"", ""Sandwiches"", ""Restaurants"")","420","-80.002585","40.440287","PA","3.5","loud","casual"
"2","TRUE","c(""Soul Food"", ""Southern"", ""Restaurants"")","582","-80.8401304","35.2273178","NC","3.5","average","casual"
"3","TRUE","c(""Nightlife"", ""Jazz & Blues"", ""Cajun/Creole"", ""Arts & Entertainment"", ""Restaurants"")","314","-80.8211257","35.2145334","NC","4","average","casual"
"4","TRUE","c(""Hotels & Travel"", ""Airports"")","1205","-80.9440454025753","35.2205434098186","NC","3.5",NA,NA
"5","TRUE","c(""American (Traditional)"", ""Diners"", ""Restaurants"")","375","-89.3518969","43.09242","WI","4","average","casual"
"6","TRUE","c(""Thai"", ""Restaurants"")","432","-112.073417","33.477939","AZ","3.5","average","casual"
"7","TRUE","c(""Bars"", ""Music Venues"", ""Arts & Entertainment"", ""Nightlife"", ""Sports Bars"", ""Barbeque"", ""Restaurants"")","409","-112.07211772211","33.444801984944","AZ","3.5","loud","casual"
"8","TRUE","c(""Nightlife"", ""Bars"", ""American (Traditional)"", ""Diners"", ""Restaurants"")","434","-112.0609975","33.4588421","AZ","4.5","average","casual"
"9","TRUE","c(""Arts & Entertainment"", ""Music Venues"", ""Parks"", ""Nightlife"", ""Active Life"", ""Botanical Gardens"")","522","-111.94497150059","33.4621673363493","AZ","4.5","quiet",NA
"10","TRUE","c(""Active Life"", ""Zoos"")","348","-111.946613","33.449922","AZ","4",NA,NA
"11","TRUE","c(""Pizza"", ""Italian"", ""Sandwiches"", ""Restaurants"")","437","-112.0743113","33.5006213","AZ","4","average","casual"
"12","TRUE","c(""Chinese"", ""Restaurants"")","320","-112.0690737","33.4859173","AZ","4","average","casual"
"13","TRUE","c(""Italian"", ""Pizza"", ""Restaurants"")","346","-112.0601964","33.5094801","AZ","4","average","casual"
"14","TRUE","c(""Asian Fusion"", ""Italian"", ""Japanese"", ""Restaurants"")","683","-112.0609579","33.5095292","AZ","4","average","casual"
"15","TRUE","c(""Steakhouses"", ""Restaurants"")","352","-112.04698","33.523984","AZ","4","average","casual"
"16","TRUE","c(""Mexican"", ""Restaurants"")","479","-112.047101","33.530335","AZ","4","average","casual"
"17","TRUE","c(""American (New)"", ""Sushi Bars"", ""Restaurants"")","425","-112.0241743","33.510034","AZ","4","average","casual"
"18","TRUE","c(""Food"", ""Bakeries"", ""Grocery"")","651","-111.99575216742","33.502312625663","AZ","4","average","casual"
"19","TRUE","c(""Bars"", ""Breakfast & Brunch"", ""Wine Bars"", ""Nightlife"", ""Italian"", ""Restaurants"")","1087","-111.9963386","33.5021111","AZ","4.5","average","casual"
"20","TRUE","c(""Mexican"", ""Event Planning & Services"", ""Venues & Event Spaces"", ""Restaurants"")","351","-112.043169","33.545329","AZ","3.5","average","casual"
"21","TRUE","c(""Mexican"", ""Restaurants"")","442","-112.0560841","33.4315556","AZ","4","average","casual"
"22","TRUE","c(""Hotels & Travel"", ""Airports"")","1786","-112.0067166","33.4357166","AZ","3.5",NA,NA
"23","TRUE","c(""Breakfast & Brunch"", ""Mexican"", ""Restaurants"")","498","-111.9820214","33.3480616","AZ","4","average","casual"
"24","TRUE","c(""Steakhouses"", ""Restaurants"")","486","-111.9740268","33.3711363","AZ","3","loud","casual"
"25","TRUE","c(""Breakfast & Brunch"", ""American (Traditional)"", ""Restaurants"")","321","-111.8436964","33.3840839","AZ","4.5","average","casual"
"26","TRUE","c(""Food"", ""Coffee & Tea"", ""American (New)"", ""Restaurants"")","888","-111.7898327","33.354768","AZ","4.5","average","casual"
"27","TRUE","c(""Food"", ""Breakfast & Brunch"", ""Delis"", ""Bagels"", ""Restaurants"")","303","-111.880204","33.5810432","AZ","3.5","average","casual"
"28","TRUE","c(""Steakhouses"", ""American (Traditional)"", ""American (New)"", ""Restaurants"")","304","-111.9253058","33.5262271","AZ","4","average","casual"
"29","TRUE","c(""French"", ""Restaurants"")","341","-111.928024291992","33.624036015123","AZ","4","average","casual"
"30","TRUE","c(""Sushi Bars"", ""Japanese"", ""Restaurants"")","393","-111.8867191","33.570469","AZ","4.5","average","casual"
"31","TRUE","c(""Pizza"", ""Restaurants"")","302","-111.9252145","33.5819029","AZ","4","average","casual"
"32","TRUE","c(""Bars"", ""Food"", ""Breweries"", ""Pubs"", ""Nightlife"", ""American (New)"", ""Restaurants"")","436","-111.893335","33.6283902","AZ","4","loud","casual"
"33","TRUE","c(""Italian"", ""Pizza"", ""Restaurants"")","317","-111.9389754","33.3928537","AZ","4","average","casual"
"34","TRUE","c(""Burgers"", ""Hot Dogs"", ""Gluten-Free"", ""Restaurants"")","457","-111.90964874703","33.407162534253","AZ","4","average","casual"
"35","TRUE","c(""American (Traditional)"", ""Restaurants"")","371","-112.149244","34.048668","AZ","3.5","average","casual"
"36","TRUE","c(""Greek"", ""Mediterranean"", ""Restaurants"")","320","-112.217436","33.637659","AZ","4.5","average","casual"
"37","TRUE","c(""Hawaiian"", ""Restaurants"")","314","-115.0722635","36.071365","NV","4.5","average","casual"
"38","TRUE","c(""Bakeries"", ""Food"", ""Delis"", ""Restaurants"")","328","-115.080035188763","36.0698343124183","NV","4","average","casual"
"39","TRUE","c(""Nightlife"", ""Bars"", ""Mexican"", ""Sports Bars"", ""Restaurants"")","367","-115.0961525","36.2407047","NV","4","average","casual"
"40","TRUE","c(""Sushi Bars"", ""Restaurants"")","650","-115.1027119","35.9911107","NV","4.5","average","casual"
"41","TRUE","c(""Bars"", ""Nightlife"", ""Lounges"", ""Hotels & Travel"", ""Hotels"", ""Event Planning & Services"")","387","-115.1697916","36.1436722","NV","3","very_loud",NA
"42","TRUE","c(""Vietnamese"", ""Chinese"", ""Restaurants"")","1907","-115.193971","36.126177","NV","3.5","average","casual"
"43","TRUE","c(""Vietnamese"", ""Restaurants"")","701","-115.2064306","36.1249835","NV","3.5","average","casual"
"44","TRUE","c(""Korean"", ""Barbeque"", ""Restaurants"")","474","-115.192874","36.1267612","NV","3.5","average","casual"
"45","TRUE","c(""Nightlife"", ""Bars"", ""Karaoke"", ""Hawaiian"", ""Restaurants"")","314","-115.20935","36.1429701","NV","3.5","average","casual"
"46","TRUE","c(""Hotels & Travel"", ""Arts & Entertainment"", ""Casinos"", ""Event Planning & Services"", ""Hotels"")","451","-115.1750346","36.1431918","NV","2.5","average","casual"
"47","TRUE","c(""Japanese"", ""Restaurants"")","1229","-115.197904","36.125908","NV","4","average","casual"
"48","TRUE","c(""Barbeque"", ""Chinese"", ""Restaurants"")","374","-115.1959803","36.1253808","NV","2","average","casual"
